"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "Java Properties", "vue", "PostCSS", "XML", "YAML", "MS SQL", "Java", "comment", "blank", "total"
"d:\project\hualimall\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\project\hualimall\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 453, 0, 0, 0, 0, 0, 453
"d:\project\hualimall\client\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\project\hualimall\client\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\project\hualimall\client\package-lock.json", "JSON", 0, 1543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1544
"d:\project\hualimall\client\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\project\hualimall\client\public\assets\luxury-window-texture.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\project\hualimall\client\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\project\hualimall\client\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"d:\project\hualimall\client\src\App.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\project\hualimall\client\src\api\modules\admin.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\project\hualimall\client\src\api\modules\cart.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\project\hualimall\client\src\api\modules\order.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\project\hualimall\client\src\api\modules\product.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\project\hualimall\client\src\api\modules\user.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\project\hualimall\client\src\api\request.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"d:\project\hualimall\client\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\project\hualimall\client\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\project\hualimall\client\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 6, 94
"d:\project\hualimall\client\src\components\layout\AppHeader.vue", "vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"d:\project\hualimall\client\src\main.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\project\hualimall\client\src\router\index.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\project\hualimall\client\src\store\modules\auth.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\project\hualimall\client\src\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 39, 297
"d:\project\hualimall\client\src\styles\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 453, 0, 0, 0, 0, 0, 81, 534
"d:\project\hualimall\client\src\utils\format.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\project\hualimall\client\src\utils\media.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\project\hualimall\client\src\views\admin\AdminOrdersView.vue", "vue", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 6, 77
"d:\project\hualimall\client\src\views\admin\AdminProductsView.vue", "vue", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 12, 195
"d:\project\hualimall\client\src\views\auth\LoginView.vue", "vue", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 28, 258
"d:\project\hualimall\client\src\views\auth\RegisterView.vue", "vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"d:\project\hualimall\client\src\views\cart\CartView.vue", "vue", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 10, 121
"d:\project\hualimall\client\src\views\error\ForbiddenView.vue", "vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\hualimall\client\src\views\order\OrderDetailView.vue", "vue", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"d:\project\hualimall\client\src\views\order\OrderListView.vue", "vue", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 7, 73
"d:\project\hualimall\client\src\views\product\ProductDetailView.vue", "vue", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 72
"d:\project\hualimall\client\src\views\product\ProductListView.vue", "vue", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 11, 115
"d:\project\hualimall\client\teach\00-项目总览.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\project\hualimall\client\teach\01-启动与构建.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"d:\project\hualimall\client\teach\02-入口_根组件_路由.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 68
"d:\project\hualimall\client\teach\03-状态管理与请求拦截.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 58
"d:\project\hualimall\client\teach\04-API模块讲解.md", "Markdown", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 55
"d:\project\hualimall\client\teach\05-页面讲解_认证与商品.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 59
